age,education.num,capital.gain,hours.per.week,>50k,workclass_Encoded,occupation_Encoded,race_Encoded,native.country_Encoded,marital.status_Encoded
82,9,0,18,0,2,3,4,38,6
54,4,0,40,0,2,6,4,38,0
41,10,0,40,0,2,9,4,38,5
34,9,0,45,0,2,7,4,38,0
38,6,0,40,0,2,0,4,38,5
74,16,0,20,1,5,9,4,38,4
68,9,0,40,0,0,9,4,38,0
45,16,0,35,1,2,9,2,38,0
38,15,0,45,1,4,9,4,38,4
52,13,0,20,1,2,7,4,38,6
32,14,0,55,1,2,3,4,38,5
46,15,0,40,1,2,9,4,38,0
45,7,0,76,1,2,13,4,38,0
57,14,0,50,1,2,3,4,38,0
34,13,0,50,1,2,11,4,38,5
37,13,0,40,1,2,3,4,38,4
29,7,0,42,0,2,11,4,38,5
61,9,0,25,0,2,11,4,38,0
51,10,0,40,0,2,13,4,38,2
21,11,0,40,0,2,2,4,38,2
33,2,0,32,0,2,2,4,25,2
49,3,0,40,0,2,7,4,11,2
37,6,0,50,1,3,13,4,38,4
38,6,0,90,1,2,9,4,38,4
23,10,0,40,1,2,7,4,38,5
59,6,0,50,1,3,3,4,38,6
52,15,0,60,1,2,3,4,38,0
51,13,0,50,1,2,3,4,38,0
60,9,0,50,1,4,3,2,38,4
63,16,0,60,1,0,3,4,38,0
53,9,0,48,1,2,11,4,38,4
51,15,0,50,1,2,9,4,38,4
37,16,0,60,1,4,9,4,38,4
54,14,0,40,1,2,9,4,38,0
44,13,0,50,1,2,3,4,38,0
43,14,0,40,1,2,3,4,38,0
51,10,0,40,1,2,0,4,38,0
43,14,0,40,1,2,9,4,38,0
48,13,0,70,1,2,11,4,38,3
71,9,0,52,0,2,11,4,38,2
73,9,0,40,0,4,4,1,39,2
40,15,0,45,1,4,9,4,38,4
50,9,0,72,1,2,11,4,38,6
51,11,0,39,1,5,12,4,38,0
42,10,0,40,1,2,3,4,38,4
39,14,0,45,1,2,11,4,38,4
32,13,0,50,1,2,3,4,38,4
53,10,0,45,1,2,2,4,38,5
40,10,0,40,1,1,10,4,38,4
38,13,0,45,1,2,11,4,38,4
33,11,0,42,1,2,2,4,38,5
43,12,0,70,1,2,2,4,38,0
50,7,0,40,1,3,3,4,38,4
44,10,0,6,1,2,0,4,38,2
51,13,0,40,1,4,11,1,2,2
41,15,0,40,1,2,9,4,38,2
37,14,0,60,1,2,3,4,38,2
55,15,0,35,1,3,9,4,11,2
39,13,0,60,1,3,11,4,38,2
42,15,0,60,1,3,9,4,38,2
49,13,0,55,1,2,11,4,38,2
47,9,0,50,1,4,3,4,38,2
41,15,0,45,1,1,9,4,38,2
55,13,0,50,1,3,3,4,38,2
39,14,0,65,1,2,3,4,38,2
42,13,0,60,1,2,3,4,38,2
46,14,0,65,1,2,11,4,38,2
40,14,0,45,1,2,3,4,38,2
32,13,0,48,1,2,9,4,38,2
41,10,0,55,1,3,3,4,38,2
60,15,0,80,1,3,9,4,38,2
31,14,0,70,1,2,3,4,35,2
58,10,0,40,1,4,4,4,38,2
37,13,0,50,1,3,11,4,38,2
44,13,0,50,1,4,3,4,38,2
55,13,0,50,1,3,3,4,38,2
44,14,0,55,1,3,9,4,38,2
39,15,0,67,1,2,9,1,18,2
46,13,0,40,1,4,11,4,38,2
39,10,0,99,1,2,4,4,38,2
62,13,0,60,1,3,4,4,38,2
31,9,0,40,1,4,7,4,38,2
46,13,0,35,1,2,0,1,29,2
46,15,0,80,1,4,9,4,38,2
39,11,0,40,1,3,2,4,38,2
39,15,0,99,1,2,11,4,38,2
59,16,0,45,1,2,9,4,38,2
50,15,0,60,1,3,9,4,38,2
46,16,0,55,1,2,9,4,38,2
53,13,0,40,1,4,3,4,38,2
50,15,0,30,1,4,9,4,38,2
41,15,0,55,1,3,3,4,38,2
36,13,0,45,1,2,11,4,38,2
38,15,0,90,1,2,9,4,38,2
54,10,0,50,1,2,11,4,38,2
50,13,0,20,1,2,3,4,38,2
47,13,0,60,1,2,3,4,38,2
47,15,0,45,1,3,9,4,38,2
67,13,0,40,1,2,3,4,38,6
67,13,0,75,1,3,3,4,38,2
72,16,0,25,1,4,9,4,38,2
46,14,0,50,1,3,3,4,38,2
78,13,0,40,1,3,3,4,38,2
71,13,0,60,1,3,3,4,38,2
83,13,0,55,1,3,3,4,38,2
